"clustering_ids","market_ids","car_ids","firm_ids","make","model","shares","quantity","trend","prices","mpg","hp","wt","len","wid","ht","wb","Doors","Seats","hpwt","space","ULSP","ULSD","CPI","mpd","region","Segment","Segment_Desc","low_share","Viz1","Viz2","Viz3","Viz4","Viz5","count"
"16_14",2013,"16_14_2013","GM","Chevrolet","Spark",0.000509102259625215,4208,5,9.98477157360406,5.6,73,190.479168,3595,1597,1529.25,2375,5,5,0.383244009129649,0.889891065861782,1.36365482233503,1.42727645450996,0.985,0.882753500925485,"United States",1,"A-Segment (Minicars)",0,-1.373362,0.86086315,-0.31344724,0.36053506,0.72206765,6
"16_14",2012,"16_14_2012","GM","Chevrolet","Spark",0.000509197547320715,4202,4,9.76795005202914,5.54,74.2,190.479168,3622,1597,1522,2375,5,5,0.389543910649589,0.896574531446836,1.41259105098855,1.47933363438242,0.961,0.842797717183485,"United States",1,"A-Segment (Minicars)",0,-1.373362,0.86086315,-0.31344724,0.36053506,0.72206765,6
"16_14",2010,"16_14_2010","GM","Chevrolet","Spark",0.000475880212431157,3871,2,9.91983594332588,5.53333333333333,73,190.479168,3625,1597,1522,2375,5,5,0.383244009129649,0.897317138734064,1.30764713474445,1.3337183789365,0.894,0.92163486238948,"United States",1,"A-Segment (Minicars)",0,-1.373362,0.86086315,-0.31344724,0.36053506,0.72206765,6
"16_14",2015,"16_14_2015","GM","Chevrolet","Spark",9.54168883121468e-07,8,7,9.835,5.6,73,190.479168,3595,1597,1529.25,2375,5,5,0.383244009129649,0.889891065861782,1.11033846153846,1.14996923076923,1,1.08998627216191,"United States",1,"A-Segment (Minicars)",0,-1.373362,0.86086315,-0.31344724,0.36053506,0.72206765,6
"16_14",2011,"16_14_2011","GM","Chevrolet","Spark",0.000525236386911109,4300,3,9.43484245946773,5.52857142857143,72.1428571428571,190.479168,3627.14285714286,1597,1522,2375,5,5,0.37874407947255,0.897847572510656,1.42840759347719,1.48613902157799,0.934,0.834531018464694,"United States",1,"A-Segment (Minicars)",0,-1.373362,0.86086315,-0.31344724,0.36053506,0.72206765,6
"16_18",2013,"16_18_2013","GM","Chevrolet","Trax",0.000129332299320189,1069,5,18.8100072516316,4.98571428571429,126.571428571429,298.72601,4248,1776,1674,2555,5,5,0.423704077764867,1.16939304172702,1.36365482233503,1.42727645450996,0.985,0.78592084648723,"United States",7,"J-segment (SUV)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3
"16_18",2014,"16_18_2014","GM","Chevrolet","Trax",6.62440241615727e-05,549,6,18.5278571428571,4.98571428571429,126.571428571429,298.72601,4248,1776,1674,2555,5,5,0.423704077764867,1.16939304172702,1.27417884615385,1.33474230769231,1,0.840750234384063,"United States",7,"J-segment (SUV)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3
"16_18",2015,"16_18_2015","GM","Chevrolet","Trax",1.19271110390184e-07,1,7,18.5278571428571,4.98571428571429,126.571428571429,298.72601,4248,1776,1674,2555,5,5,0.423704077764867,1.16939304172702,1.11033846153846,1.14996923076923,1,0.970421451491085,"United States",7,"J-segment (SUV)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3
"16_2",2010,"16_2_2010","GM","Chevrolet","Aveo",0.000239845594020456,1951,2,11.651326302333,4.9,86.7142857142857,229.752898571429,3920,1680,1505,2480,4.14285714285714,5,0.377424120668175,1.02077114397203,1.30764713474445,1.3337183789365,0.894,0.816146534766588,"United States",2,"B-segment (subcompact)",0,-1.3212205,1.367513,0.014077362,-0.4936225,0.46282616,7
"16_2",2011,"16_2_2011","GM","Chevrolet","Aveo",0.000183710587421932,1504,3,12.4518201284797,5.30714285714286,88.9285714285714,240.051623428571,3988,1724.28571428571,1511.85714285714,2505.71428571429,4.71428571428571,5,0.370456030075683,1.06585325425336,1.42840759347719,1.48613902157799,0.934,0.801106649508098,"United States",2,"B-segment (subcompact)",0,-1.3212205,1.367513,0.014077362,-0.4936225,0.46282616,7
"16_2",2014,"16_2_2014","GM","Chevrolet","Aveo",1.59275249350229e-05,132,6,12.78375,6.0375,90.125,247.27569075,4039,1771,1517,2525,5,5,0.364471734874731,1.10872910988229,1.27417884615385,1.33474230769231,1,1.01811480746867,"United States",2,"B-segment (subcompact)",0,-1.3212205,1.367513,0.014077362,-0.4936225,0.46282616,7
"16_2",2009,"16_2_2009","GM","Chevrolet","Aveo",0.000570418505094748,4605,1,12.1622401847575,4.86666666666667,87.3333333333333,230.199071666667,3920,1680,1505,2480,4.33333333333333,5,0.379381779001237,1.02077114397203,1.15004441286196,1.20266033043169,0.866,0.910048917216635,"United States",2,"B-segment (subcompact)",0,-1.3212205,1.367513,0.014077362,-0.4936225,0.46282616,7
"16_2",2013,"16_2_2013","GM","Chevrolet","Aveo",0.000178451956498857,1475,5,12.9784263959391,6.0375,90.125,247.27569075,4039,1771,1517,2525,5,5,0.364471734874731,1.10872910988229,1.36365482233503,1.42727645450996,0.985,0.951718618185289,"United States",2,"B-segment (subcompact)",0,-1.3212205,1.367513,0.014077362,-0.4936225,0.46282616,7
"16_2",2012,"16_2_2012","GM","Chevrolet","Aveo",0.000217881292261458,1798,4,12.7811938321824,5.67272727272727,89.7272727272727,244.432232,4039,1761.18181818182,1517,2525,5,5,0.367084455241863,1.10258246731429,1.41259105098855,1.47933363438242,0.961,0.862989457700188,"United States",2,"B-segment (subcompact)",0,-1.3212205,1.367513,0.014077362,-0.4936225,0.46282616,7
"16_2",2008,"16_2_2008","GM","Chevrolet","Aveo",0.00016144615864111,1295,0,12.4350649350649,4.86666666666667,87.3333333333333,230.199071666667,3920,1680,1505,2480,4.33333333333333,5,0.379381779001237,1.02077114397203,1.26329579511398,1.38792344019617,0.847,0.807581800723608,"United States",2,"B-segment (subcompact)",0,-1.3212205,1.367513,0.014077362,-0.4936225,0.46282616,7
