"file_name","V3","V4","V8","V15"
"Audi$$A3$$2017$$Grey$$7_3$$1025$$image_5.jpg",-0.6185039,0.01281598,-0.44745967,1.0726992
"Audi$$A3$$2017$$Grey$$7_3$$159$$image_6.jpg",-0.4059631,0.151372,-1.0732093,0.7318288
"Audi$$A3$$2017$$Grey$$7_3$$1913$$image_5.jpg",-0.9725509,-0.7873539,-0.80375725,0.064720936
"Audi$$A3$$2017$$Grey$$7_3$$1993$$image_6.jpg",-0.3961021,-0.5119123,-1.2584791,0.62056196
"Audi$$A3$$2017$$Silver$$7_3$$931$$image_5.jpg",-0.0034773983,0.118554614,-1.1641177,1.3845619
"Audi$$A3$$2017$$Silver$$7_3$$966$$image_2.jpg",-0.21394078,-1.3619314,-1.4462914,1.9443281
"Audi$$A3$$2017$$White$$7_3$$1119$$image_2.jpg",-0.2520691,-1.7955377,-2.1298041,1.6020637
"Audi$$A3$$2017$$White$$7_3$$155$$image_5.jpg",-0.083945915,-0.8776437,-2.2674592,2.2751548
"Audi$$A3$$2017$$Yellow$$7_3$$519$$image_20.jpg",0.43884027,-0.65408653,-2.2065265,1.0183967
"Audi$$A4 Allroad$$2015$$White$$7_6$$159$$image_1.jpg",-0.47659135,-0.43713576,-1.0331894,0.54119295
"Audi$$A4 Avant$$2007$$Silver$$7_7$$417$$image_0.jpg",-0.7222592,-0.16227555,-1.414803,1.2960334
"Audi$$A4 Avant$$2009$$Silver$$7_7$$5$$image_2.jpg",-1.8354282,-1.2931741,0.15522416,-0.7978212
"Audi$$A4 Avant$$2009$$Silver$$7_7$$551$$image_6.jpg",-0.9321689,-1.7826443,0.18710582,-0.5311601
"Audi$$A4 Avant$$2009$$Silver$$7_7$$86$$image_0.jpg",-1.702741,-1.2737098,1.1330178,0.9008066
"Audi$$A4 Avant$$2010$$Grey$$7_7$$428$$image_0.jpg",-2.0022683,-0.49000996,0.6928287,2.3713117
"Audi$$A4 Avant$$2012$$White$$7_7$$797$$image_0.jpg",-1.2322694,-1.3862772,-1.3637468,0.19797291
"Audi$$A4 Avant$$2013$$Silver$$7_7$$657$$image_3.jpg",-0.8802805,-1.5189812,-1.3111769,1.2402422
"Audi$$A4 Avant$$2013$$White$$7_7$$140$$image_6.jpg",-0.9159524,-0.584427,-1.0288335,0.92803603
"Audi$$A4 Avant$$2014$$Grey$$7_7$$213$$image_5.jpg",-0.43586445,0.049646333,-0.16404063,1.2857506
"Audi$$A4 Avant$$2014$$White$$7_7$$574$$image_8.jpg",-0.784939,-1.5341321,-0.79305685,1.9777875
"Audi$$A4 Avant$$2015$$Silver$$7_7$$620$$image_6.jpg",-1.8390311,-0.23447299,-1.1559187,1.2113824
"Audi$$A4 Avant$$2015$$White$$7_7$$147$$image_6.jpg",-1.8028922,-0.93079305,-0.9963527,1.3946265
"Audi$$A4 Avant$$2015$$White$$7_7$$15$$image_6.jpg",-1.7654815,-1.7419331,-1.1029522,1.617976
"Audi$$A4 Avant$$2015$$White$$7_7$$269$$image_6.jpg",-1.8733602,-1.331549,-1.006516,1.1651087
"Audi$$A4 Avant$$2016$$White$$7_7$$42$$image_5.jpg",-1.1453465,-1.5679799,-1.417207,2.0090451
"Audi$$A4 Avant$$2016$$White$$7_7$$99$$image_4.jpg",-1.001716,-3.0160668,-0.6203471,1.713499
"Audi$$A4 Avant$$2017$$White$$7_7$$23$$image_5.jpg",-0.82871616,-2.2122345,-2.174996,0.65424085
"Audi$$A4 Avant$$2017$$White$$7_7$$258$$image_3.jpg",-1.311272,-0.69574034,0.037131302,1.0811477
"Audi$$A4 Avant$$2017$$White$$7_7$$589$$image_5.jpg",-1.6130205,-2.1384144,-0.09872118,2.5809753
"Audi$$A4 Cabriolet$$2007$$Silver$$7_8$$165$$image_25.jpg",-2.245124,-1.2535852,1.0675611,2.0449755
"Audi$$A4$$2008$$Silver$$7_5$$463$$image_0.jpg",-0.89326334,-1.0371063,0.6789932,1.0061029
"Audi$$A4$$2009$$White$$7_5$$618$$image_0.jpg",-0.8542365,-1.2855142,-0.3070721,1.1369578
"Audi$$A4$$2011$$Grey$$7_5$$666$$image_2.jpg",-1.2554792,-0.67372394,-0.48803434,-0.21538575
"Audi$$A4$$2011$$Silver$$7_5$$110$$image_2.jpg",-1.1914153,-0.44881418,-1.6573896,1.4617171
"Audi$$A4$$2011$$Silver$$7_5$$677$$image_0.jpg",-1.9081625,-0.38996294,1.0100849,2.434258
"Audi$$A4$$2012$$Silver$$7_5$$823$$image_0.jpg",-1.2782668,0.18288478,-0.9947288,1.1681509
"Audi$$A4$$2012$$Unlisted$$7_5$$369$$image_0.jpg",-1.3099064,-2.8008618,0.6161312,2.5242631
